actorID,actor_type,objectID,object,action,timestamp
/program files/vmware/vmware tools/vmtoolsd.exe_1684,PRINCIPAL_LOCAL,"c:""/program files/vmware/vmware tools/vmtoolsd.exe",PRINCIPAL_LOCAL,executed,28995589
/program files/vmware/vmware tools/vmtoolsd.exe_1684,PRINCIPAL_LOCAL,NOPROCESSNAME_840,SUBJECT_PROCESS,fork,28995589
/program files/vmware/vmware tools/vmtoolsd.exe_1684,PRINCIPAL_LOCAL,"c:""/programdata/vmware/vmware tools",PRINCIPAL_LOCAL,read,28995589
/program files/vmware/vmware tools/vmtoolsd.exe_2164,PRINCIPAL_LOCAL,"c:""/program files/vmware/vmware tools/vmtoolsd.exe",PRINCIPAL_LOCAL,executed,28995589
/program files/vmware/vmware tools/vmtoolsd.exe_2164,PRINCIPAL_LOCAL,NOPROCESSNAME_2612,SUBJECT_PROCESS,fork,28995589
/program files/vmware/vmware tools/vmtoolsd.exe_2164,PRINCIPAL_LOCAL,"c:""/programdata/vmware/vmware tools",PRINCIPAL_LOCAL,read,28995589
/windows/explorer.exe_1776,PRINCIPAL_LOCAL,"c:""/windows/explorer.exe",PRINCIPAL_LOCAL,executed,28995594
/windows/explorer.exe_1776,PRINCIPAL_LOCAL,NOPROCESSNAME_1756,SUBJECT_PROCESS,fork,28995594
/windows/explorer.exe_1776,PRINCIPAL_LOCAL,"c:""//",PRINCIPAL_LOCAL,read,28995594
/windows/explorer.exe_1776,PRINCIPAL_LOCAL,"c:""/windows",PRINCIPAL_LOCAL,read,28995594
/windows/explorer.exe_1776,PRINCIPAL_LOCAL,"c:""/windows/system32",PRINCIPAL_LOCAL,read,28995594
/windows/explorer.exe_1776,PRINCIPAL_LOCAL,"c:""/programdata/microsoft/windows/start menu/programs/administrative tools/event viewer.lnk",PRINCIPAL_LOCAL,read,28995594
/windows/explorer.exe_1776,PRINCIPAL_LOCAL,"c:""/users/aalsahee/appdata/local/microsoft/windows/caches/cversions.1.db",PRINCIPAL_LOCAL,read,28995612
/windows/explorer.exe_1776,PRINCIPAL_LOCAL,"c:""/users/aalsahee/appdata/local/microsoft/windows/caches/{afbf9f1a-8ee8-4c77-af34-c647e37ca0d9}.1.ver0x0000000000000014.db",PRINCIPAL_LOCAL,read,28995612
/windows/explorer.exe_1776,PRINCIPAL_LOCAL,"c:""/users/aalsahee/appdata/local/microsoft/windows/caches",PRINCIPAL_LOCAL,read,28995612
/windows/explorer.exe_1776,PRINCIPAL_LOCAL,"c:""/windows/media/windows shutdown.wav",PRINCIPAL_LOCAL,read,28995613
/windows/system32/mmc.exe_3768,PRINCIPAL_LOCAL,"c:""/windows/system32/mmc.exe",PRINCIPAL_LOCAL,executed,28995596
/windows/system32/mmc.exe_3768,PRINCIPAL_LOCAL,NOPROCESSNAME_516,SUBJECT_PROCESS,fork,28995596
/windows/system32/mmc.exe_3768,PRINCIPAL_LOCAL,"c:""/windows/system32/eventvwr.msc",PRINCIPAL_LOCAL,read,28995606
/windows/system32/mmc.exe_3768,PRINCIPAL_LOCAL,"c:""//",PRINCIPAL_LOCAL,read,28995606
/windows/system32/mmc.exe_3768,PRINCIPAL_LOCAL,"c:""/users/desktop.ini",PRINCIPAL_LOCAL,read,28995606
/windows/system32/mmc.exe_3768,PRINCIPAL_LOCAL,"c:""/users",PRINCIPAL_LOCAL,read,28995606
